iter	Passed	Remaining
741	10039	784
742	10052	771
743	10066	757
744	10079	744
745	10091	730
746	10105	716
747	10118	703
748	10131	689
749	10146	676
750	10162	663
751	10176	649
752	10190	636
753	10204	622
754	10217	608
755	10230	595
756	10242	581
757	10255	568
758	10268	554
759	10281	541
760	10294	527
761	10307	514
762	10320	500
763	10333	486
764	10346	473
765	10359	459
766	10372	446
767	10385	432
768	10398	419
769	10411	405
770	10424	392
771	10437	378
772	10449	365
773	10462	351
774	10475	337
775	10488	324
776	10501	310
777	10513	297
778	10525	283
779	10538	270
780	10552	256
781	10567	243
782	10580	229
783	10593	216
784	10606	202
785	10619	189
786	10635	175
787	10649	162
788	10662	148
789	10675	135
790	10688	121
791	10702	108
792	10714	94
793	10728	81
794	10740	67
795	10754	54
796	10766	40
797	10780	27
798	10792	13
799	10804	0
