iter	Passed	Remaining
631	5647	1501
632	5658	1492
633	5669	1484
634	5683	1476
635	5694	1468
636	5705	1460
637	5716	1451
638	5728	1443
639	5738	1434
640	5748	1426
641	5759	1417
642	5769	1408
643	5779	1400
644	5790	1391
645	5800	1382
646	5809	1373
647	5820	1365
648	5831	1356
649	5841	1348
650	5851	1339
651	5863	1331
652	5874	1322
653	5885	1313
654	5901	1306
655	5911	1297
656	5924	1289
657	5935	1280
658	5943	1271
659	5953	1262
660	5961	1253
661	5969	1244
662	5978	1235
663	5986	1226
664	5995	1217
665	6004	1208
666	6013	1199
667	6021	1189
668	6030	1180
669	6038	1171
670	6047	1162
671	6055	1153
672	6063	1144
673	6072	1135
674	6081	1126
675	6090	1117
676	6099	1108
677	6108	1099
678	6119	1090
679	6128	1081
680	6137	1072
681	6147	1063
682	6157	1054
683	6167	1045
684	6176	1036
685	6187	1028
686	6196	1019
687	6207	1010
688	6216	1001
689	6226	992
690	6235	983
691	6243	974
692	6252	965
693	6261	956
694	6269	947
695	6278	938
696	6286	929
697	6296	920
698	6306	911
699	6315	902
700	6325	893
701	6333	884
702	6342	875
703	6350	866
704	6358	856
705	6367	847
706	6376	838
707	6384	829
708	6392	820
709	6401	811
710	6409	802
711	6417	793
712	6426	784
713	6435	775
714	6443	766
715	6452	756
716	6461	747
717	6470	738
718	6479	729
719	6487	720
720	6496	711
721	6504	702
722	6513	693
723	6525	684
724	6533	675
725	6542	666
726	6551	657
727	6561	648
728	6569	639
729	6579	630
730	6588	621
731	6597	612
732	6607	603
733	6617	595
734	6627	586
735	6638	577
736	6647	568
737	6657	559
738	6674	550
739	6697	543
740	6708	534
741	6721	525
742	6734	516
743	6747	507
744	6756	498
745	6768	489
746	6779	481
747	6789	472
748	6802	463
749	6812	454
750	6820	445
751	6829	435
752	6838	426
753	6847	417
754	6856	408
755	6864	399
756	6881	390
757	6894	382
758	6904	372
759	6914	363
760	6924	354
761	6934	345
762	6944	336
763	6954	327
764	6963	318
765	6973	309
766	6982	300
767	6992	291
768	7002	282
769	7012	273
770	7022	264
771	7032	255
772	7042	245
773	7053	236
774	7064	227
775	7076	218
776	7085	209
777	7096	200
778	7108	191
779	7118	182
780	7129	173
781	7140	164
782	7149	155
783	7158	146
784	7167	136
785	7176	127
786	7184	118
787	7193	109
788	7202	100
789	7212	91
790	7221	82
791	7229	73
792	7238	63
793	7247	54
794	7257	45
795	7266	36
796	7279	27
797	7288	18
798	7298	9
799	7307	0
